,Artefact,Subject,AUC,PSD,AutoCorr,SampEn
5431,0,7,1019126.0,0.9999360985455233,0.9963198308246143,0.3845743784230138
5432,0,7,1021918.5,0.9999369975533731,0.9965103031981063,0.34799047820679796
5433,0,7,1018136.0,0.9999393865107999,0.9964367704278796,0.34764590550270125
5434,0,7,1019805.0,0.9999361007175974,0.9961323908225446,0.3874752320713961
5435,0,7,1019604.0,0.9999355324898792,0.99635813535399,0.36944992530121246
5436,0,7,1018057.5,0.9999359546237231,0.9965350210631213,0.3803653079957479
5437,0,7,1021695.5,0.9999335930692099,0.9961467748296964,0.36152383011607514
5438,0,7,1017850.0,0.9999358053378902,0.9964288685487961,0.3891811041334878
5439,0,7,1019177.5,0.9999384053193047,0.9965222984945621,0.3696735919672472
5440,0,7,1021006.5,0.9999348022529885,0.9960854161108197,0.3774795171193238
5441,0,7,1017755.0,0.9999393326409579,0.9966888829853704,0.3814187227318154
5442,0,7,1019662.0,0.9999372316453825,0.9963983618247173,0.3877511842181403
5443,0,7,1017786.0,0.9999358168218857,0.9963213446562142,0.37342277973835913
5444,0,7,1018090.5,0.9999352035023947,0.9962407377472476,0.3695650847988231
5445,0,7,1020144.0,0.9999335457376689,0.9961137913332435,0.3932343108917493
5446,0,7,1017257.0,0.9999364947465362,0.9962752053411593,0.37946854566783017
5447,0,7,1018294.5,0.9999342735619049,0.9961873797065304,0.3762454589300398
5448,0,7,1019833.5,0.999930818805681,0.9960774412265909,0.3646786309183211
5449,0,7,1017068.0,0.9999356773023085,0.9962134154400792,0.4073161115515557
5450,3,7,1020097.5,0.9999368693140092,0.9964822489976076,0.37700524060066193
5451,3,7,1061186.0,0.9999333662117792,0.9972726374370025,0.3342460201953874
5452,3,7,1093539.0,0.9999216024243425,0.9973445888534572,0.3731266902064148
5453,3,7,1107069.0,0.9999222526434127,0.9974750381208339,0.38111197998963886
5454,3,7,1110203.5,0.9999158602574858,0.9974386710367235,0.3783827210656857
5455,3,7,1115487.5,0.9999204146094395,0.9974716392508686,0.3745812274245801
5456,3,7,1116769.0,0.999915589177521,0.9972777478738981,0.3740503612331183
